,buiness_review_count,business_categories,business_city,business_id,business_stars,checkin_info
0,3,"['Accountants', 'Professional Services', 'Tax Services', 'Financial Services']",Peoria,rncjoVoEFUJGCUoC1JgnUA,5.0,"{'12-3': 19, '11-4': 11, '14-1': 2, '15-3': 2, '14-4': 1, '13-6': 5, '10-5': 2, '16-5': 1, '13-5': 4, '8-5': 1, '20-1': 1, '11-6': 6, '1-6': 1, '10-2': 4, '12-5': 5, '10-3': 4, '14-5': 3, '13-3': 1, '10-0': 3, '9-4': 1, '11-5': 3, '12-2': 12, '12-6': 5, '9-5': 2, '16-1': 1, '14-0': 2, '12-4': 8, '11-2': 9, '11-3': 17, '15-0': 2, '10-4': 1, '15-5': 2, '11-0': 3, '16-3': 1, '10-1': 4, '14-6': 6, '12-1': 14, '10-6': 2, '11-1': 18, '0-5': 1, '13-2': 6, '14-3': 2, '9-6': 4, '13-1': 1, '12-0': 20}"
1,5,"['Sporting Goods', 'Bikes', 'Shopping']",Phoenix,0FNFSzCFP_rGUoJx8W7tJg,5.0,"{'13-6': 1, '19-2': 1, '14-6': 1, '2-6': 2, '17-1': 1, '11-2': 1, '3-5': 1, '10-6': 1, '2-5': 3, '0-5': 1, '17-4': 1, '18-0': 1, '0-0': 3, '20-3': 1, '19-4': 1, '12-6': 1, '3-6': 1, '18-5': 4, '23-0': 1, '1-6': 2}"
2,4,[],Phoenix,3f_lyB6vFK48ukH6ScvLHg,5.0,"{'19-0': 1, '19-2': 1, '13-4': 1, '0-2': 1, '21-0': 1, '10-3': 1, '15-3': 1, '11-3': 1, '10-5': 1, '6-4': 1, '21-6': 1, '16-3': 1, '18-5': 1, '6-3': 1, '19-1': 1, '14-2': 1, '8-2': 1, '11-6': 5, '23-4': 1, '10-1': 1, '7-5': 2, '14-6': 1, '12-1': 1, '6-2': 1, '10-4': 1, '10-6': 2, '9-2': 1, '20-6': 1, '20-5': 1, '19-3': 1, '10-0': 1, '11-5': 4, '17-4': 1, '8-5': 1, '9-5': 1, '7-4': 1}"
3,5,"['Food', 'Grocery']",Phoenix,usAsSV36QmUej8--yvN-dg,3.5,"{'12-3': 1, '19-2': 1, '13-4': 2, '13-5': 1, '15-1': 1, '17-1': 1, '12-5': 1, '11-1': 2, '10-5': 2, '11-0': 1, '10-0': 1, '20-0': 1, '11-5': 2, '12-6': 1, '17-6': 1, '10-1': 1, '13-2': 1}"
4,14,"['Food', 'Bagels', 'Delis', 'Restaurants']",Glendale Az,PzOqRohWw7F7YEPBz6AubA,3.5,"{'12-5': 2, '13-4': 1, '15-4': 1, '16-2': 1, '14-5': 1}"
5,6,"[""Women's Clothing"", 'Fashion', 'Shopping']",Glendale,gtQzAiy7D-dPU8WzT3jX3Q,4.5,"{'18-5': 1, '19-3': 1, '15-5': 1, '18-4': 1}"
6,21,"['Music & DVDs', 'Books, Mags, Music & Video', 'Vinyl Records', 'Shopping']",Phoenix,FrBCYtCS_jydDjg1KsIgWQ,3.5,"{'7-5': 1, '8-4': 1, '14-1': 2, '15-1': 1, '17-1': 1, '16-1': 1, '6-6': 1, '17-5': 1, '15-0': 1, '10-5': 1, '12-6': 2, '11-4': 1, '18-1': 3, '14-2': 1, '13-5': 1, '8-5': 1, '13-6': 2, '14-4': 1, '12-5': 1, '8-6': 2, '11-1': 1, '10-6': 2, '7-6': 4, '10-0': 1, '11-5': 2, '5-4': 1, '9-6': 1, '13-1': 2, '12-0': 1}"
7,4,"['Event Planning & Services', 'Venues & Event Spaces']",Phoenix,yaXAD-Mv2K2PEZobmqjIYA,5.0,"{'19-0': 6, '12-3': 2, '13-4': 4, '11-4': 4, '13-5': 7, '11-0': 1, '19-2': 11, '15-3': 2, '17-2': 2, '15-4': 3, '10-5': 2, '18-5': 6, '20-5': 3, '18-1': 3, '16-5': 10, '17-6': 3, '8-5': 1, '20-1': 2, '10-1': 2, '21-2': 1, '8-0': 1, '11-6': 8, '18-3': 4, '15-6': 4, '12-5': 5, '9-2': 2, '20-6': 1, '16-0': 3, '14-5': 5, '17-4': 6, '13-3': 3, '10-2': 2, '14-0': 1, '19-6': 3, '14-4': 1, '21-1': 1, '10-4': 4, '18-4': 3, '13-2': 2, '16-1': 1, '11-5': 4, '12-4': 5, '11-2': 1, '11-3': 2, '15-2': 5, '9-1': 1, '12-2': 1, '15-0': 1, '12-6': 7, '19-1': 6, '20-0': 3, '16-3': 3, '18-2': 5, '13-6': 8, '17-5': 5, '10-3': 1, '14-6': 10, '12-1': 3, '16-6': 3, '17-0': 5, '10-6': 5, '19-5': 4, '11-1': 3, '17-3': 2, '20-3': 2, '19-3': 3, '18-0': 2, '1-1': 1, '19-4': 3, '14-3': 1, '9-6': 1, '12-0': 2, '7-2': 1, '18-6': 10, '13-1': 5, '15-5': 5}"
8,14,"['Art Schools', 'Specialty Schools', 'Shopping', 'Jewelry', 'Accessories', 'Fashion', 'Education']",Scottsdale,o3ehs4ZEdsizbJyB9_j7uQ,5.0,"{'13-6': 2, '19-2': 1, '12-4': 1, '17-1': 2, '11-0': 1, '17-5': 1, '17-3': 1, '14-2': 2, '18-6': 1, '13-2': 3, '13-3': 2, '10-6': 1, '14-0': 1, '16-5': 1, '14-4': 1, '14-5': 1, '13-0': 1, '12-0': 2}"
9,10,"['Sandwiches', 'Restaurants']",Gilbert,qarobAbxGSHI7ygf1f7a_Q,3.5,"{'6-6': 1, '19-2': 1, '12-4': 1, '17-1': 1, '8-3': 2, '17-2': 1, '12-5': 1, '23-2': 1, '8-2': 1, '17-4': 1, '13-3': 1, '9-4': 1, '9-5': 1, '22-6': 1, '7-4': 1, '12-0': 1}"
10,4,"['Music & DVDs', 'Books, Mags, Music & Video', 'Musical Instruments & Teachers', 'Shopping']",Scottsdale,C1xciP65n4t4R1Q4h1zOHw,4.5,"{'12-3': 2, '13-4': 3, '11-4': 5, '14-1': 1, '15-1': 2, '21-0': 1, '16-1': 4, '15-3': 2, '17-5': 2, '15-4': 1, '18-5': 3, '20-5': 1, '17-0': 2, '17-6': 1, '13-5': 6, '18-6': 2, '20-1': 1, '10-1': 1, '14-4': 1, '12-4': 2, '15-6': 2, '20-4': 5, '12-5': 2, '10-2': 1, '20-6': 1, '16-0': 1, '14-5': 2, '17-4': 1, '13-3': 1, '10-0': 2, '23-3': 1, '17-2': 2, '12-6': 1, '21-1': 1, '13-0': 1, '18-4': 3, '21-4': 1, '19-2': 1, '11-5': 9, '18-3': 2, '11-2': 2, '12-2': 6, '15-0': 2, '16-6': 1, '10-6': 2, '20-0': 5, '3-6': 1, '16-3': 2, '18-2': 2, '13-6': 1, '10-3': 1, '14-6': 3, '12-1': 3, '10-4': 1, '21-5': 1, '19-5': 2, '11-1': 6, '17-3': 1, '20-3': 3, '16-4': 2, '19-3': 1, '18-0': 3, '17-1': 2, '11-0': 4, '19-4': 2, '0-0': 1, '12-0': 2, '16-2': 5, '14-0': 1}"
11,5,"['Mexican', 'Restaurants']",Phoenix,gA5CuBxF-0CnOpGnryWJdQ,4.0,"{'12-3': 1, '10-4': 2, '13-5': 1, '19-1': 1, '16-5': 1, '11-6': 1, '18-4': 1, '16-4': 2}"
12,3,"['Food', 'Grocery']",Goodyear,acaBJcFEKPmmSDIO6c-ZGQ,3.0,"{'12-3': 8, '16-1': 1, '12-4': 1, '11-2': 1, '11-3': 2, '19-6': 1, '15-4': 1, '16-4': 1, '17-6': 1, '11-6': 1, '20-4': 1, '17-4': 1, '12-1': 4, '12-5': 3, '17-3': 1, '20-6': 1, '18-6': 1, '13-2': 1, '13-3': 1, '12-2': 2, '12-6': 1, '21-1': 1, '12-0': 4}"
13,55,"['Pizza', 'Restaurants']",Scottsdale,JxVGJ9Nly2FFIs_WpJvkug,4.0,"{'19-0': 1, '21-4': 3, '13-5': 1, '21-3': 1, '18-3': 9, '15-3': 1, '2-3': 1, '20-5': 3, '16-3': 1, '18-5': 2, '9-6': 1, '2-4': 1, '19-1': 1, '16-5': 1, '20-1': 2, '3-2': 1, '7-5': 1, '17-4': 1, '22-4': 1, '17-1': 2, '10-4': 1, '15-6': 1, '20-4': 4, '12-5': 4, '9-2': 1, '20-2': 1, '17-3': 2, '20-3': 1, '16-4': 1, '19-3': 16, '18-0': 1, '19-4': 6, '12-6': 1, '9-5': 1, '18-4': 7, '18-1': 4}"
