,user_count,user_id,user_star,user_useful
0,6,CR2y7yEm4X035ZMzrTtN9Q,5.0,7
1,2,_9GXoHhdxc30ujPaQwh6Ew,1.0,1
2,2,8mM-nqxjg6pT04kwcjMbsw,5.0,1
3,2,Ch6CdTR2IVaVANr-RglMOg,5.0,2
4,1,NZrLmHRyiHmyT1JrfzkCOA,1.0,0
5,19,mWx5Sxt_dx-sYBZg6RgJHQ,3.79,45
6,207,hryUDaRk7FLuDAYui2oldw,3.83,130
7,2,2t6fZNLtiqsihVmeO7zggg,3.0,0
8,4,mn6F-eP5WU37b-iLTop2mQ,4.5,3
9,10,myXq7PFXkD_yfXT580SXMw,3.9,24
10,6,EMpFiVyiaMS58XsLZdS6vA,3.4,16
11,5,74Y-B-8MJhshV7aYSQ93lQ,3.4,5
12,83,34ir_XnUsrqserEuSZdGQA,3.39,109
13,8,1Aq2NzZGREMRdAkw55V7dg,2.88,3
14,1,B7XCvzvcriFc8xfIA-Wg4A,5.0,0
15,8,1aoDw1jVm5UQrVacWg0vnw,2.12,4
16,4,iH6y1T5AZZxaKpSNmvjGWw,4.75,7
17,22,2tyadgcxcaEu5LWgLdwLAQ,4.23,24
18,11,mc2glxrNAZuPnCudIaoK4Q,3.64,10
19,4,LKFo-Z93fhHHF-CkXoXvLw,3.75,11
20,2,09ZCt5inrt35zuJVtxBB5A,2.5,5
21,56,aSwY5VAO1S0uZASZlZgB3A,3.79,81
22,7,oh3BckWd5WXSANfGlnjErQ,4.5,3
23,9,y5YxcvgbQX_uVW0UtHWKxA,4.0,7
24,3,Vu29H1sy1poRld4LIL2Jqw,3.67,1
25,2,iK7I2HQ8kiyms_XuENr55w,5.0,1
26,1,QlSVps_q61IThBo489_Zyw,5.0,0
27,3,mzenirXt-7sZR2RhkhvLDQ,3.0,15
28,16,qMCT8OblN3finTvXcba-oA,3.62,21
29,4,jy94hgtLcuD0BbZ7o8KCYQ,4.5,7
30,3,8lrTKMjIJ9kt7rfVtjq3qg,5.0,2
31,6,IcSsf2QCA7T-KpdraDxTew,3.8,3
32,8,d09KNIq4YPYq1u5nVyqIUg,3.86,2
33,1,vxxNafFH_OMD5B1l231toA,5.0,0
34,6,bwPaqC08ddUoq-zminI3bw,3.17,5
35,3,LzT8mSfliJHhs68RTwQW5w,4.0,3
36,4,vAAeeV-kqabpuVr-DmtdFA,1.33,4
37,8,R75rQfzSeXzO9LVh0MFjJg,3.75,8
38,1,D_nff52rbs-OCZbVXeCqzg,5.0,4
39,8,6lyD0ZdmmYZsOMFFwOWsog,2.62,3
40,3,hqjDAPapGKJ3U4wUN1dGMA,4.33,5
41,155,iR8iTaCOjQCM-JG4qf23NQ,3.79,386
42,18,1Md7FNu_GujIwxbb9TqSqQ,3.89,3
43,9,-LmTXrlHEfLpDi34FVXNAg,4.0,1
44,5,ysZSP646Ikjb9pPKxuBurw,4.2,2
45,30,gXQ3peDz-H8mFZO_U4ys3w,4.27,38
46,15,8gIp7Emu7xBDnBjRKgkSOg,3.87,17
